em ,dataset,subject,video,onset,apex,offset,emotion,au,type,duration_frame_full,duration_time_full,duration_frame_half,duration_time_half,Inducement Code,Classes,Notes,selfReport,remarks,filename,length
0,CASME2,1,EP02_01f,46,59,86,happiness,12,micro-expression,41,0.205,14,0.07,,,,,,,
1,CASME2,1,EP03_02,131,139,161,others,18,micro-expression,31,0.155,9,0.045,,,,,,,
2,CASME2,1,EP04_02,21,54,76,others,4,micro-expression,56,0.28,34,0.17,,,,,,,
3,CASME2,1,EP04_03,31,41,56,others,4,micro-expression,26,0.13,11,0.055,,,,,,,
4,CASME2,1,EP04_04,23,49,66,others,4,micro-expression,44,0.22,27,0.135,,,,,,,
5,CASME2,1,EP19_01,26,49,66,others,4,micro-expression,41,0.205,24,0.12,,,,,,,
6,CASME2,1,EP19_03f,81,96,161,others,4,micro-expression,81,0.405,16,0.08,,,,,,,
7,CASME2,1,EP19_05f,396,416,446,disgust,4+L10,micro-expression,51,0.255,21,0.105,,,,,,,
8,CASME2,1,EP19_06f,36,71,161,disgust,4+5+L10,micro-expression,126,0.63,36,0.18,,,,,,,
9,CASME2,2,EP01_11f,46,91,96,repression,15,micro-expression,51,0.255,46,0.23,,,,,,,
10,CASME2,2,EP02_04f,31,79,141,repression,12+15,micro-expression,111,0.555,49,0.245,,,,,,,
11,CASME2,2,EP03_02f,16,81,136,repression,15,micro-expression,121,0.605,66,0.33,,,,,,,
12,CASME2,2,EP06_01f,56,121,155,repression,14,micro-expression,100,0.5,66,0.33,,,,,,,
13,CASME2,2,EP06_02f,36,64,111,repression,14,micro-expression,76,0.38,29,0.145,,,,,,,
14,CASME2,2,EP08_04,16,69,106,others,14,micro-expression,91,0.455,54,0.27,,,,,,,
15,CASME2,2,EP09_01,26,56,125,happiness,1+12,micro-expression,100,0.5,31,0.155,,,,,,,
16,CASME2,2,EP09_06f,11,49,151,others,4,micro-expression,141,0.705,39,0.195,,,,,,,
17,CASME2,2,EP09_10,26,36,66,others,17,micro-expression,41,0.205,11,0.055,,,,,,,
18,CASME2,2,EP11_01,16,69,106,surprise,1+L2,micro-expression,91,0.455,54,0.27,,,,,,,
19,CASME2,2,EP13_04,21,51,76,surprise,1,micro-expression,56,0.28,31,0.155,,,,,,,
20,CASME2,2,EP14_01,81,114,126,surprise,1+L2,micro-expression,46,0.23,34,0.17,,,,,,,
21,CASME2,2,EP15_04,26,66,96,others,17,micro-expression,71,0.355,41,0.205,,,,,,,
22,CASME2,3,EP01_2,51,69,91,surprise,1,micro-expression,41,0.205,19,0.095,,,,,,,
23,CASME2,3,EP07_03,16,46,76,others,4,micro-expression,61,0.305,31,0.155,,,,,,,
24,CASME2,3,EP07_04,21,81,106,disgust,4+L10,micro-expression,86,0.43,61,0.305,,,,,,,
25,CASME2,3,EP08_1,11,44,91,others,4,micro-expression,81,0.405,34,0.17,,,,,,,
26,CASME2,3,EP09_03,61,76,121,disgust,4+9,micro-expression,61,0.305,16,0.08,,,,,,,
27,CASME2,3,EP18_06,26,81,126,disgust,4+7,micro-expression,101,0.505,56,0.28,,,,,,,
28,CASME2,3,EP19_08,101,121,141,disgust,4+7+9,micro-expression,41,0.205,21,0.105,,,,,,,
29,CASME2,4,EP12_01f,261,0,321,disgust,4+7,micro-expression,61,0.305,-260,-1.3,,,,,,,
30,CASME2,4,EP12_02f,356,387,406,disgust,4+L9+14,micro-expression,51,0.255,32,0.16,,,,,,,
31,CASME2,4,EP13_02f,51,81,111,others,4,micro-expression,61,0.305,31,0.155,,,,,,,
32,CASME2,4,EP13_06f,71,108,161,disgust,4+6+7,micro-expression,91,0.455,38,0.19,,,,,,,
33,CASME2,4,EP19_01f,191,209,226,others,4,micro-expression,36,0.18,19,0.095,,,,,,,
34,CASME2,5,EP02_07,36,66,101,surprise,1+2,micro-expression,66,0.33,31,0.155,,,,,,,
35,CASME2,5,EP03_01,41,81,101,happiness,14,micro-expression,61,0.305,41,0.205,,,,,,,
36,CASME2,5,EP03_06,33,66,83,surprise,1,micro-expression,51,0.255,34,0.17,,,,,,,
37,CASME2,5,EP03_07,41,64,83,others,4,micro-expression,43,0.215,24,0.12,,,,,,,
38,CASME2,5,EP04_05,16,44,66,surprise,1,micro-expression,51,0.255,29,0.145,,,,,,,
39,CASME2,5,EP04_06,6,49,91,surprise,L2+12,micro-expression,86,0.43,44,0.22,,,,,,,
40,CASME2,5,EP05_03,51,71,141,others,?,micro-expression,91,0.455,21,0.105,,,,,,,
41,CASME2,5,EP05_09,49,94,136,others,15,micro-expression,88,0.44,46,0.23,,,,,,,
42,CASME2,5,EP06_10,85,116,136,others,4,micro-expression,52,0.26,32,0.16,,,,,,,
43,CASME2,5,EP07_01,49,66,106,others,?,micro-expression,58,0.29,18,0.09,,,,,,,
44,CASME2,5,EP08_05,6,39,71,others,4,micro-expression,66,0.33,34,0.17,,,,,,,
45,CASME2,5,EP09_05f,69,69,123,disgust,R2+15,micro-expression,55,0.275,1,0.005,,,,,,,
46,CASME2,5,EP12_03f,11,36,61,surprise,25,micro-expression,51,0.255,26,0.13,,,,,,,
47,CASME2,5,EP12_06,46,76,121,others,17,micro-expression,76,0.38,31,0.155,,,,,,,
48,CASME2,5,EP13_04f,36,69,111,others,?,micro-expression,76,0.38,34,0.17,,,,,,,
49,CASME2,5,EP13_06,16,46,76,others,4,micro-expression,61,0.305,31,0.155,,,,,,,
50,CASME2,5,EP16_03f,39,81,138,others,4,micro-expression,100,0.5,43,0.215,,,,,,,
51,CASME2,5,EP16_04f,141,181,181,others,4,micro-expression,41,0.205,41,0.205,,,,,,,
52,CASME2,5,EP19_03,6,29,58,others,4,micro-expression,53,0.265,24,0.12,,,,,,,
53,CASME2,6,EP01_01,81,111,136,happiness,L14+L15,micro-expression,56,0.28,31,0.155,,,,,,,
54,CASME2,6,EP02_31,99,131,148,surprise,L2+26+38,micro-expression,50,0.25,33,0.165,,,,,,,
55,CASME2,6,EP10_08,116,139,161,others,4,micro-expression,46,0.23,24,0.12,,,,,,,
56,CASME2,6,EP15_02,56,79,106,surprise,R1+R2,micro-expression,51,0.255,24,0.12,,,,,,,
57,CASME2,6,EP16_05,94,114,151,disgust,L10,micro-expression,58,0.29,21,0.105,,,,,,,
58,CASME2,7,EP01_01,79,109,156,disgust,4+R10,micro-expression,78,0.39,31,0.155,,,,,,,
59,CASME2,7,EP03_04,11,49,76,others,R4,micro-expression,66,0.33,39,0.195,,,,,,,
60,CASME2,7,EP06_01,15,49,68,others,4+38,micro-expression,54,0.27,35,0.175,,,,,,,
61,CASME2,7,EP06_02_01,11,66,91,disgust,4+R10,micro-expression,81,0.405,56,0.28,,,,,,,
62,CASME2,7,EP06_02_02,36,81,91,disgust,4+R10,micro-expression,56,0.28,46,0.23,,,,,,,
63,CASME2,7,EP08_02,141,174,191,disgust,R4+R10,micro-expression,51,0.255,34,0.17,,,,,,,
64,CASME2,7,EP15_01,36,64,91,disgust,R10,micro-expression,56,0.28,29,0.145,,,,,,,
65,CASME2,7,EP18_01,6,24,51,others,R14,micro-expression,46,0.23,19,0.095,,,,,,,
66,CASME2,7,EP18_03,11,54,96,others,7,micro-expression,86,0.43,44,0.22,,,,,,,
67,CASME2,8,EP12_07f,26,74,118,others,4,micro-expression,93,0.465,49,0.245,,,,,,,
68,CASME2,8,EP12_08f,71,106,170,others,4,micro-expression,100,0.5,36,0.18,,,,,,,
69,CASME2,8,EP13_01f,49,86,126,repression,15+17,micro-expression,78,0.39,38,0.19,,,,,,,
70,CASME2,9,EP02_01f,21,74,91,happiness,L12,micro-expression,71,0.355,54,0.27,,,,,,,
71,CASME2,9,EP05_02,66,119,196,others,4+7,micro-expression,131,0.655,54,0.27,,,,,,,
72,CASME2,9,EP05_03,91,116,156,others,4+7,micro-expression,66,0.33,26,0.13,,,,,,,
73,CASME2,9,EP05_05,46,84,96,happiness,L12,micro-expression,51,0.255,39,0.195,,,,,,,
74,CASME2,9,EP06_01f,66,144,186,repression,15,micro-expression,121,0.605,79,0.395,,,,,,,
75,CASME2,9,EP06_02f,36,101,131,happiness,12+15,micro-expression,96,0.48,66,0.33,,,,,,,
76,CASME2,9,EP09_04,26,71,146,repression,15+17,micro-expression,121,0.605,46,0.23,,,,,,,
77,CASME2,9,EP09_05,26,81,111,repression,15,micro-expression,86,0.43,56,0.28,,,,,,,
78,CASME2,9,EP09f,26,64,86,happiness,15,micro-expression,61,0.305,39,0.195,,,,,,,
79,CASME2,9,EP13_01,31,74,121,repression,17,micro-expression,91,0.455,44,0.22,,,,,,,
80,CASME2,9,EP13_02,71,96,131,fear,20,micro-expression,61,0.305,26,0.13,,,,,,,
81,CASME2,9,EP15_05,56,91,111,happiness,L12,micro-expression,56,0.28,36,0.18,,,,,,,
82,CASME2,9,EP17_08,6,41,76,repression,17,micro-expression,71,0.355,36,0.18,,,,,,,
83,CASME2,9,EP18_03,11,39,81,others,4+7,micro-expression,71,0.355,29,0.145,,,,,,,
84,CASME2,10,EP06_01f,11,54,101,others,4,micro-expression,91,0.455,44,0.22,,,,,,,
85,CASME2,10,EP08_01f,76,114,141,others,4,micro-expression,66,0.33,39,0.195,,,,,,,
86,CASME2,10,EP10_01f,111,136,171,others,4,micro-expression,61,0.305,26,0.13,,,,,,,
87,CASME2,10,EP11_01,31,64,101,others,4,micro-expression,71,0.355,34,0.17,,,,,,,
88,CASME2,10,EP11_01f,36,64,91,others,4,micro-expression,56,0.28,29,0.145,,,,,,,
89,CASME2,10,EP12_02f,26,54,86,others,4,micro-expression,61,0.305,29,0.145,,,,,,,
90,CASME2,10,EP12_03f,26,81,111,others,4,micro-expression,86,0.43,56,0.28,,,,,,,
91,CASME2,10,EP12_04,61,101,146,others,4,micro-expression,86,0.43,41,0.205,,,,,,,
92,CASME2,10,EP13_01,11,59,76,fear,L16,micro-expression,66,0.33,49,0.245,,,,,,,
93,CASME2,10,EP13_02f,41,109,131,others,4,micro-expression,91,0.455,69,0.345,,,,,,,
94,CASME2,10,EP13_03f,11,46,76,others,4,micro-expression,66,0.33,36,0.18,,,,,,,
95,CASME2,10,EP16_02f,21,64,110,others,4,micro-expression,90,0.45,44,0.22,,,,,,,
96,CASME2,10,EP18_01f,11,44,73,others,4,micro-expression,63,0.315,34,0.17,,,,,,,
97,CASME2,10,EP19_04f,81,84,126,others,4,micro-expression,46,0.23,4,0.02,,,,,,,
98,CASME2,11,EP02_06f,71,96,116,others,4+L14,micro-expression,46,0.23,26,0.13,,,,,,,
99,CASME2,11,EP08_01f,96,121,146,disgust,4,micro-expression,51,0.255,26,0.13,,,,,,,
100,CASME2,11,EP12_03f,91,141,185,others,4,micro-expression,95,0.475,51,0.255,,,,,,,
101,CASME2,11,EP13_02f,51,111,141,disgust,4+9,micro-expression,91,0.455,61,0.305,,,,,,,
